player_yaw,player_pitch,target_dist,ideal_yaw,ideal_pitch,yaw_error,pitch_error,on_ground,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
-60.24,-4.73,2.574,-60.01,-0.26,0.23,4.47,0,1,0,0,1,0,0,0
-64.97,-5.14,2.726,-59.23,-2.4,5.75,2.74,0,1,0,0,1,0,0,0
-68.78,-4.93,2.839,-58.94,-6.4,9.83,-1.47,0,1,0,0,1,0,0,0
-68.26,-6.89,2.945,-59.01,-11.42,9.25,-4.53,0,0,0,0,1,0,1,0
-66.93,-9.77,3.1,-59.39,-17.6,7.54,-7.83,0,0,0,0,1,0,0,0
-63.33,-14.6,3.221,-60.52,-22.99,2.81,-8.39,0,1,0,0,1,0,1,0
-61.58,-17.68,3.316,-62.09,-27.76,-0.51,-10.08,1,1,0,0,1,0,0,0
-61.48,-18.61,3.159,-65.14,-27.37,-3.66,-8.76,1,1,0,0,1,0,1,0
-65.9,-15.63,3.204,-66.23,-17.13,-0.33,-1.5,0,1,0,0,1,0,0,0
-67.44,-13.26,3.143,-66.86,-9.09,0.58,4.17,0,1,0,0,1,0,1,0
-71.35,-10.18,3.121,-67.62,-3.29,3.73,6.89,0,1,0,0,1,0,0,0
-75.67,-6.68,3.052,-68.41,0.54,7.26,7.22,0,1,0,0,1,0,1,0
